"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Jan-2024","EQ","1,240.90","1,261.80","1,240.90","1,240.90","1,249.00","1,249.40","1,251.80","1,333.05","981.05","9,30,492","1,16,47,89,979.35","79,256"
"10-Jan-2024","EQ","1,236.50","1,246.45","1,228.30","1,235.65","1,239.50","1,240.90","1,239.46","1,333.05","981.05","8,08,638","1,00,22,74,339.65","48,318"
"09-Jan-2024","EQ","1,240.55","1,251.20","1,232.60","1,228.95","1,238.40","1,235.65","1,242.22","1,333.05","981.05","9,94,439","1,23,53,08,782.25","62,494"
"08-Jan-2024","EQ","1,250.20","1,254.25","1,221.40","1,248.30","1,223.00","1,228.95","1,234.56","1,333.05","981.05","13,20,667","1,63,04,36,710.40","1,00,460"
"05-Jan-2024","EQ","1,254.90","1,271.85","1,245.55","1,247.50","1,249.75","1,248.30","1,257.02","1,333.05","981.05","17,56,868","2,20,84,11,648.95","1,06,979"
"04-Jan-2024","EQ","1,250.10","1,254.70","1,231.70","1,244.20","1,249.00","1,247.50","1,240.56","1,333.05","981.05","33,55,191","4,16,23,07,601.35","1,04,292"
"03-Jan-2024","EQ","1,265.00","1,274.00","1,240.00","1,278.10","1,241.00","1,244.20","1,252.06","1,333.05","981.05","22,31,707","2,79,42,23,788.15","1,05,571"
"02-Jan-2024","EQ","1,298.00","1,299.10","1,272.85","1,297.15","1,279.00","1,278.10","1,279.52","1,333.05","981.05","16,15,064","2,06,65,06,398.45","79,628"
"01-Jan-2024","EQ","1,273.00","1,303.80","1,265.25","1,272.65","1,292.70","1,297.15","1,291.24","1,333.05","981.05","17,76,828","2,29,43,17,512.65","93,141"
"29-Dec-2023","EQ","1,285.95","1,291.95","1,268.10","1,285.95","1,272.80","1,272.65","1,276.35","1,333.05","981.05","11,87,193","1,51,52,70,248.60","81,226"
"28-Dec-2023","EQ","1,285.00","1,289.00","1,270.55","1,280.15","1,287.00","1,285.95","1,281.95","1,333.05","981.05","22,84,964","2,92,92,02,846.20","1,03,606"
"27-Dec-2023","EQ","1,287.90","1,291.50","1,267.25","1,282.00","1,278.30","1,280.15","1,278.07","1,333.05","981.05","15,84,695","2,02,53,58,454.35","73,057"
"26-Dec-2023","EQ","1,275.00","1,288.75","1,260.55","1,275.15","1,280.00","1,282.00","1,277.64","1,333.05","981.05","17,20,830","2,19,85,96,075.85","72,021"
"22-Dec-2023","EQ","1,260.00","1,280.90","1,242.50","1,250.10","1,272.00","1,275.15","1,260.36","1,333.05","981.05","22,97,352","2,89,54,98,295.05","1,02,975"
"21-Dec-2023","EQ","1,232.00","1,258.55","1,226.00","1,248.60","1,250.00","1,250.10","1,246.37","1,333.05","981.05","33,37,533","4,15,97,94,846.05","1,06,031"
"20-Dec-2023","EQ","1,291.00","1,314.00","1,238.20","1,281.45","1,240.00","1,248.60","1,276.83","1,333.05","981.05","28,60,865","3,65,28,38,678.45","1,04,221"
"19-Dec-2023","EQ","1,300.00","1,300.95","1,269.20","1,291.75","1,281.00","1,281.45","1,279.39","1,333.05","981.05","17,17,860","2,19,78,07,760.30","73,751"
"18-Dec-2023","EQ","1,305.00","1,333.05","1,286.45","1,306.10","1,290.00","1,291.75","1,310.58","1,333.05","981.05","26,71,348","3,50,10,05,974.40","97,390"
"15-Dec-2023","EQ","1,270.00","1,324.80","1,262.50","1,264.70","1,307.50","1,306.10","1,303.86","1,324.80","981.05","59,00,381","7,69,32,59,229.65","1,95,657"
"14-Dec-2023","EQ","1,235.00","1,269.80","1,230.15","1,216.10","1,260.70","1,264.70","1,257.45","1,320.00","981.05","52,87,733","6,64,90,80,157.65","1,91,845"
"13-Dec-2023","EQ","1,226.00","1,233.95","1,197.05","1,226.15","1,217.00","1,216.10","1,209.76","1,320.00","981.05","30,25,706","3,66,03,76,323.30","79,245"
"12-Dec-2023","EQ","1,237.95","1,245.00","1,218.65","1,233.30","1,226.00","1,226.15","1,233.14","1,320.00","981.05","11,14,846","1,37,47,56,009.85","64,761"
"11-Dec-2023","EQ","1,231.00","1,240.50","1,225.30","1,225.30","1,231.50","1,233.30","1,234.74","1,320.00","981.05","15,58,876","1,92,48,10,394.90","66,639"
"08-Dec-2023","EQ","1,230.00","1,237.95","1,217.25","1,223.25","1,224.10","1,225.30","1,226.87","1,320.00","981.05","26,42,571","3,24,21,01,136.90","79,775"
"07-Dec-2023","EQ","1,226.00","1,231.00","1,220.10","1,225.20","1,222.00","1,223.25","1,225.03","1,320.00","981.05","10,76,885","1,31,92,21,023.45","60,193"
"06-Dec-2023","EQ","1,223.00","1,247.00","1,218.65","1,220.60","1,225.90","1,225.20","1,226.76","1,320.00","981.05","26,37,916","3,23,60,94,284.05","64,885"
"05-Dec-2023","EQ","1,224.00","1,226.25","1,208.85","1,223.90","1,222.95","1,220.60","1,215.83","1,320.00","981.05","14,99,843","1,82,35,56,369.20","61,251"
"04-Dec-2023","EQ","1,238.00","1,249.20","1,218.00","1,220.55","1,224.90","1,223.90","1,226.55","1,320.00","981.05","15,81,599","1,93,99,17,044.60","66,880"
"01-Dec-2023","EQ","1,226.80","1,226.80","1,211.55","1,220.95","1,220.30","1,220.55","1,218.63","1,320.00","981.05","10,17,856","1,24,03,93,390.75","51,674"
"30-Nov-2023","EQ","1,222.00","1,228.30","1,208.70","1,221.70","1,219.75","1,220.95","1,219.13","1,320.00","981.05","29,78,406","3,63,10,78,663.40","88,499"
"29-Nov-2023","EQ","1,207.00","1,234.60","1,206.65","1,202.40","1,222.10","1,221.70","1,224.63","1,320.00","981.05","18,98,448","2,32,49,00,062.95","87,515"
"28-Nov-2023","EQ","1,195.10","1,209.00","1,186.00","1,197.85","1,208.00","1,202.40","1,196.31","1,320.00","981.05","9,10,795","1,08,95,97,170.85","45,464"
"24-Nov-2023","EQ","1,212.05","1,214.95","1,195.10","1,210.90","1,197.20","1,197.85","1,204.11","1,320.00","981.05","8,84,921","1,06,55,41,367.45","62,712"
"23-Nov-2023","EQ","1,215.00","1,220.90","1,206.95","1,215.40","1,211.75","1,210.90","1,212.30","1,320.00","981.05","6,51,637","78,99,82,746.95","34,858"
"22-Nov-2023","EQ","1,205.00","1,218.00","1,204.00","1,204.50","1,215.90","1,215.40","1,213.47","1,320.00","981.05","7,50,622","91,08,58,138.00","49,510"
"21-Nov-2023","EQ","1,219.95","1,221.15","1,200.40","1,211.80","1,202.00","1,204.50","1,207.39","1,320.00","981.05","11,29,326","1,36,35,41,510.50","52,079"
"20-Nov-2023","EQ","1,204.90","1,222.50","1,202.75","1,202.75","1,211.00","1,211.80","1,212.79","1,320.00","981.05","10,77,366","1,30,66,13,443.10","46,952"
"17-Nov-2023","EQ","1,212.20","1,213.95","1,198.00","1,207.20","1,200.85","1,202.75","1,204.41","1,320.00","981.05","11,76,628","1,41,71,38,320.45","56,751"
"16-Nov-2023","EQ","1,175.00","1,214.95","1,167.40","1,173.75","1,207.50","1,207.20","1,199.10","1,320.00","981.05","22,94,942","2,75,18,70,297.05","1,43,802"
"15-Nov-2023","EQ","1,145.00","1,178.85","1,143.50","1,131.35","1,174.00","1,173.75","1,169.37","1,320.00","981.05","28,16,201","3,29,31,86,141.15","86,509"
"13-Nov-2023","EQ","1,140.60","1,142.15","1,128.00","1,142.15","1,131.05","1,131.35","1,132.03","1,320.00","981.05","4,35,537","49,30,39,958.65","28,855"
"12-Nov-2023","EQ","1,146.00","1,147.15","1,140.00","1,138.15","1,140.30","1,142.15","1,143.18","1,320.00","981.05","86,328","9,86,88,278.85","6,257"
"10-Nov-2023","EQ","1,122.00","1,139.75","1,121.50","1,123.95","1,138.00","1,138.15","1,132.75","1,320.00","981.05","7,06,806","80,06,33,737.15","40,940"
"09-Nov-2023","EQ","1,140.00","1,141.00","1,117.20","1,139.15","1,123.00","1,123.95","1,123.02","1,320.00","981.05","60,42,108","6,78,54,34,918.95","99,498"
"08-Nov-2023","EQ","1,151.75","1,152.85","1,137.05","1,149.00","1,138.85","1,139.15","1,144.63","1,320.00","981.05","8,06,162","92,27,57,594.60","55,262"
"07-Nov-2023","EQ","1,142.00","1,150.30","1,136.55","1,142.15","1,149.50","1,149.00","1,145.36","1,320.00","981.05","9,02,481","1,03,36,62,801.30","53,117"
"06-Nov-2023","EQ","1,137.50","1,144.80","1,134.35","1,133.10","1,143.60","1,142.15","1,139.82","1,320.00","981.05","5,72,330","65,23,52,775.20","42,734"
"03-Nov-2023","EQ","1,124.00","1,136.00","1,116.00","1,115.50","1,135.00","1,133.10","1,131.25","1,320.00","981.05","11,08,121","1,25,35,57,448.00","62,196"
"02-Nov-2023","EQ","1,125.00","1,130.00","1,113.80","1,125.10","1,117.55","1,115.50","1,120.94","1,320.00","981.05","24,93,118","2,79,46,35,417.95","82,434"
"01-Nov-2023","EQ","1,130.95","1,138.00","1,119.95","1,133.15","1,122.95","1,125.10","1,129.19","1,320.00","981.05","12,88,497","1,45,49,58,277.25","60,198"
"31-Oct-2023","EQ","1,126.90","1,137.15","1,115.55","1,126.90","1,133.00","1,133.15","1,127.11","1,320.00","981.05","11,94,765","1,34,66,32,374.50","60,751"
"30-Oct-2023","EQ","1,120.55","1,138.90","1,115.50","1,120.55","1,126.70","1,126.90","1,127.06","1,320.00","981.05","22,55,915","2,54,25,44,012.80","71,257"
"27-Oct-2023","EQ","1,119.95","1,125.95","1,114.05","1,115.45","1,121.00","1,120.55","1,121.23","1,320.00","981.05","13,82,498","1,55,00,93,742.85","67,266"
"26-Oct-2023","EQ","1,100.05","1,120.00","1,098.15","1,142.15","1,119.95","1,115.45","1,108.93","1,320.00","981.05","70,99,401","7,87,27,54,288.95","2,38,730"
"25-Oct-2023","EQ","1,162.00","1,165.90","1,136.50","1,155.95","1,139.90","1,142.15","1,151.54","1,320.00","981.05","15,55,285","1,79,09,71,120.00","64,583"
"23-Oct-2023","EQ","1,164.10","1,170.95","1,151.55","1,170.70","1,153.50","1,155.95","1,162.07","1,320.00","981.05","12,03,959","1,39,90,83,234.20","57,358"
"20-Oct-2023","EQ","1,170.00","1,176.00","1,148.40","1,172.15","1,167.20","1,170.70","1,165.75","1,320.00","981.05","29,62,470","3,45,35,12,757.35","1,11,994"
"19-Oct-2023","EQ","1,170.55","1,185.45","1,167.80","1,187.10","1,169.00","1,172.15","1,176.08","1,320.00","981.05","31,07,691","3,65,48,88,064.00","1,23,946"
"18-Oct-2023","EQ","1,200.00","1,202.00","1,178.05","1,197.60","1,185.00","1,187.10","1,186.94","1,320.00","981.05","23,37,078","2,77,39,67,627.60","78,850"
"17-Oct-2023","EQ","1,190.00","1,203.00","1,188.45","1,184.60","1,197.95","1,197.60","1,195.97","1,320.00","981.05","11,63,897","1,39,19,85,032.25","57,311"
"16-Oct-2023","EQ","1,195.30","1,198.25","1,180.80","1,194.10","1,183.45","1,184.60","1,188.36","1,320.00","981.05","26,38,043","3,13,49,51,016.75","63,872"
"13-Oct-2023","EQ","1,187.00","1,202.95","1,180.00","1,198.75","1,193.10","1,194.10","1,189.60","1,320.00","981.05","32,66,079","3,88,53,32,208.30","1,06,240"
"12-Oct-2023","EQ","1,232.00","1,232.00","1,189.30","1,231.60","1,197.25","1,198.75","1,208.07","1,320.00","981.05","24,52,842","2,96,31,93,325.85","1,19,804"
"11-Oct-2023","EQ","1,230.10","1,238.90","1,222.00","1,227.75","1,230.00","1,231.60","1,231.55","1,320.00","981.05","16,22,663","1,99,83,96,813.15","70,594"
"10-Oct-2023","EQ","1,215.20","1,231.45","1,213.00","1,212.65","1,228.40","1,227.75","1,222.54","1,320.00","981.05","15,03,359","1,83,79,13,186.55","87,146"
"09-Oct-2023","EQ","1,203.25","1,227.75","1,202.15","1,216.90","1,210.10","1,212.65","1,217.43","1,320.00","981.05","14,51,064","1,76,65,63,076.95","78,562"
"06-Oct-2023","EQ","1,207.00","1,223.00","1,205.00","1,205.60","1,215.10","1,216.90","1,215.73","1,320.00","981.05","14,46,719","1,75,88,24,474.30","78,708"
"05-Oct-2023","EQ","1,214.00","1,223.95","1,199.50","1,205.00","1,206.40","1,205.60","1,209.00","1,320.00","981.05","24,97,613","3,01,96,03,567.80","1,12,098"
"04-Oct-2023","EQ","1,210.00","1,215.50","1,186.05","1,216.20","1,206.60","1,205.00","1,198.55","1,320.00","981.05","23,40,603","2,80,53,23,628.90","79,445"
"03-Oct-2023","EQ","1,220.60","1,230.70","1,212.55","1,222.80","1,216.95","1,216.20","1,220.74","1,320.00","981.05","16,22,290","1,98,03,92,808.50","66,223"
"29-Sep-2023","EQ","1,224.00","1,231.65","1,210.00","1,229.50","1,225.00","1,222.80","1,224.44","1,320.00","981.05","28,61,162","3,50,33,18,805.90","93,062"
"28-Sep-2023","EQ","1,274.05","1,274.05","1,222.00","1,288.65","1,235.05","1,229.50","1,240.18","1,320.00","981.05","65,70,797","8,14,89,79,780.65","1,89,292"
"27-Sep-2023","EQ","1,269.95","1,293.90","1,264.00","1,282.30","1,290.00","1,288.65","1,282.97","1,320.00","981.05","15,68,115","2,01,18,37,162.70","62,398"
"26-Sep-2023","EQ","1,300.00","1,303.05","1,279.15","1,299.45","1,282.75","1,282.30","1,284.99","1,320.00","981.05","11,41,475","1,46,67,87,606.10","49,511"
"25-Sep-2023","EQ","1,305.35","1,314.40","1,296.05","1,305.35","1,298.05","1,299.45","1,304.20","1,320.00","981.05","21,00,302","2,73,92,10,889.00","72,443"
"22-Sep-2023","EQ","1,290.05","1,320.00","1,284.00","1,291.65","1,306.00","1,305.35","1,307.75","1,320.00","981.05","32,52,940","4,25,40,27,267.45","1,21,571"
"21-Sep-2023","EQ","1,275.95","1,296.00","1,265.90","1,274.35","1,292.60","1,291.65","1,284.82","1,303.70","981.05","29,60,250","3,80,33,80,812.65","1,33,257"
"20-Sep-2023","EQ","1,282.00","1,289.15","1,269.05","1,289.80","1,274.20","1,274.35","1,277.10","1,303.70","981.05","28,43,560","3,63,15,07,978.50","1,41,973"
"18-Sep-2023","EQ","1,301.00","1,302.00","1,283.00","1,300.05","1,290.50","1,289.80","1,291.25","1,303.70","981.05","19,67,717","2,54,08,21,292.55","75,868"
"15-Sep-2023","EQ","1,278.20","1,303.70","1,274.00","1,279.85","1,298.00","1,300.05","1,291.49","1,303.70","981.05","43,16,210","5,57,43,56,426.90","1,31,477"
"14-Sep-2023","EQ","1,262.00","1,289.35","1,262.00","1,260.40","1,279.30","1,279.85","1,280.89","1,289.35","981.05","32,88,631","4,21,23,77,193.60","1,40,853"
"13-Sep-2023","EQ","1,260.30","1,268.75","1,253.90","1,266.00","1,260.00","1,260.40","1,260.96","1,283.80","981.05","12,04,376","1,51,86,65,231.60","61,092"
"12-Sep-2023","EQ","1,271.80","1,283.80","1,251.55","1,268.85","1,264.70","1,266.00","1,268.98","1,283.80","981.05","23,35,224","2,96,33,45,982.80","1,13,402"
"11-Sep-2023","EQ","1,265.00","1,275.00","1,263.50","1,262.95","1,265.00","1,268.85","1,268.32","1,278.00","981.05","12,93,853","1,64,10,23,520.70","64,565"
"08-Sep-2023","EQ","1,272.00","1,278.00","1,259.05","1,269.25","1,261.00","1,262.95","1,265.00","1,278.00","981.05","17,31,105","2,18,98,45,680.35","85,951"
"07-Sep-2023","EQ","1,248.95","1,274.85","1,238.65","1,248.95","1,269.00","1,269.25","1,265.07","1,274.85","981.05","25,54,884","3,23,21,00,183.20","1,11,033"
"06-Sep-2023","EQ","1,254.55","1,259.60","1,235.85","1,254.55","1,250.50","1,248.95","1,247.15","1,270.75","981.05","17,53,376","2,18,67,26,691.35","84,611"
"05-Sep-2023","EQ","1,258.75","1,266.60","1,248.65","1,256.75","1,249.00","1,254.55","1,258.03","1,270.75","981.05","21,99,985","2,76,76,46,672.85","82,890"
"04-Sep-2023","EQ","1,235.00","1,266.00","1,225.55","1,228.05","1,256.05","1,256.75","1,248.66","1,270.75","981.05","34,66,873","4,32,89,62,389.25","1,61,948"
"01-Sep-2023","EQ","1,205.00","1,229.90","1,204.05","1,201.95","1,229.00","1,228.05","1,219.65","1,270.75","981.05","16,86,038","2,05,63,70,321.25","1,14,085"
"31-Aug-2023","EQ","1,199.00","1,214.50","1,198.00","1,197.20","1,204.05","1,201.95","1,205.94","1,270.75","981.05","28,17,747","3,39,80,22,928.20","87,028"
"30-Aug-2023","EQ","1,207.95","1,221.60","1,194.55","1,198.00","1,197.00","1,197.20","1,210.53","1,270.75","981.05","20,16,339","2,44,08,41,123.30","68,071"
"29-Aug-2023","EQ","1,192.40","1,207.90","1,188.25","1,184.75","1,203.75","1,198.00","1,199.85","1,270.75","981.05","14,19,344","1,70,29,96,622.15","52,694"
"28-Aug-2023","EQ","1,189.55","1,196.30","1,182.30","1,189.50","1,186.50","1,184.75","1,187.63","1,270.75","981.05","9,50,013","1,12,82,64,935.70","41,148"
"25-Aug-2023","EQ","1,190.00","1,197.20","1,178.45","1,199.10","1,186.95","1,189.50","1,186.85","1,270.75","981.05","12,13,340","1,44,00,58,507.85","63,607"
"24-Aug-2023","EQ","1,206.20","1,216.50","1,196.70","1,201.00","1,197.05","1,199.10","1,205.54","1,270.75","981.05","12,18,843","1,46,93,65,406.95","55,507"
"23-Aug-2023","EQ","1,213.20","1,218.85","1,199.20","1,213.20","1,199.20","1,201.00","1,206.55","1,270.75","981.05","15,69,035","1,89,31,26,542.45","52,382"
"22-Aug-2023","EQ","1,218.85","1,223.00","1,209.25","1,218.85","1,213.40","1,213.20","1,213.26","1,270.75","981.05","10,03,208","1,21,71,50,410.60","52,250"
"21-Aug-2023","EQ","1,205.00","1,224.00","1,204.35","1,210.80","1,214.45","1,218.85","1,218.61","1,270.75","981.05","11,75,945","1,43,30,14,854.10","57,525"
"18-Aug-2023","EQ","1,225.95","1,225.95","1,205.15","1,231.75","1,206.95","1,210.80","1,213.26","1,270.75","981.05","17,94,430","2,17,71,17,248.15","66,029"
"17-Aug-2023","EQ","1,225.00","1,233.90","1,214.55","1,227.85","1,229.10","1,231.75","1,226.28","1,270.75","981.05","26,36,308","3,23,28,63,831.25","94,693"
"16-Aug-2023","EQ","1,221.00","1,239.00","1,220.00","1,219.75","1,227.10","1,227.85","1,230.28","1,270.75","981.05","23,41,456","2,88,06,36,229.45","79,074"
"14-Aug-2023","EQ","1,212.10","1,221.20","1,203.00","1,220.45","1,221.00","1,219.75","1,215.07","1,270.75","981.05","18,42,625","2,23,89,26,928.55","1,09,750"
"11-Aug-2023","EQ","1,235.80","1,250.35","1,215.30","1,235.80","1,216.00","1,220.45","1,228.23","1,270.75","981.05","29,33,959","3,60,35,75,846.45","1,23,063"
"10-Aug-2023","EQ","1,220.00","1,239.20","1,215.60","1,228.00","1,236.00","1,235.80","1,232.55","1,270.75","981.05","37,15,680","4,57,97,50,430.40","92,272"
"09-Aug-2023","EQ","1,206.95","1,236.50","1,200.20","1,205.40","1,224.40","1,228.00","1,224.66","1,270.75","981.05","33,96,984","4,16,01,33,720.35","90,053"
"08-Aug-2023","EQ","1,186.00","1,208.90","1,175.10","1,183.65","1,205.10","1,205.40","1,198.12","1,270.75","981.05","51,37,402","6,15,52,03,408.25","1,32,638"
"07-Aug-2023","EQ","1,180.00","1,192.85","1,172.10","1,175.20","1,180.90","1,183.65","1,184.46","1,270.75","981.05","16,94,290","2,00,68,18,022.85","62,794"
"04-Aug-2023","EQ","1,153.95","1,181.85","1,142.80","1,142.80","1,173.05","1,175.20","1,168.30","1,270.75","981.05","35,80,506","4,18,31,21,598.75","90,185"
"03-Aug-2023","EQ","1,140.00","1,146.95","1,121.30","1,145.65","1,140.90","1,142.80","1,135.27","1,270.75","981.05","23,48,236","2,66,58,82,476.40","77,811"
"02-Aug-2023","EQ","1,143.00","1,152.60","1,125.60","1,143.50","1,147.50","1,145.65","1,135.95","1,270.75","981.05","23,57,217","2,67,76,91,526.50","81,862"
"01-Aug-2023","EQ","1,120.00","1,154.50","1,119.90","1,115.50","1,142.00","1,143.50","1,138.39","1,270.75","981.05","38,05,214","4,33,18,17,075.60","1,33,538"
"31-Jul-2023","EQ","1,095.00","1,119.00","1,087.15","1,091.05","1,119.00","1,115.50","1,106.37","1,270.75","981.05","47,66,331","5,27,33,19,515.10","1,41,668"
"28-Jul-2023","EQ","1,100.00","1,100.00","1,085.05","1,099.90","1,089.95","1,091.05","1,091.03","1,270.75","981.05","42,44,321","4,63,06,94,506.95","2,20,407"
